"county","stateabbr","value","state","region"
"clinton","OH",5.93998849814108,"ohio",39027
"clinton","PA",4.67888283746921,"pennsylvania",42035
"cloud","KS",5.50543125257763,"kansas",20029
"coahoma","MS",4.60513001776816,"mississippi",28027
"coal","OK",5.40076088135473,"oklahoma",40029
"cobb","GA",3.00989768269143,"georgia",13067
"cochise","AZ",4.19310833652511,"arizona",4003
"cochran","TX",5.14053416344966,"texas",48079
"cocke","TN",5.37184086314032,"tennessee",47029
"coconino","AZ",3.59820385048531,"arizona",4005
"codington","SD",5.5754390629958,"south dakota",46029
"coffee","AL",4.87915280763092,"alabama",1031
"coffee","GA",4.11391218732016,"georgia",13069
"coffee","TN",4.85018076252628,"tennessee",47031
"coffey","KS",5.6910299218996,"kansas",20031
"coke","TX",5.5523473612324,"texas",48081
"colbert","AL",4.77103386489314,"alabama",1033
"cole","MO",5.48101176736056,"missouri",29051
"coleman","TX",5.33771587682046,"texas",48083
"coles","IL",5.08990912710662,"illinois",17029
"colfax","NE",5.34614011381128,"nebraska",31037
"colfax","NM",4.77408515317079,"new mexico",35007
"colleton","SC",4.5285731002339,"south carolina",45029
"collier","FL",7.53629021765211,"florida",12021
"collin","TX",3.65396772183624,"texas",48085
"collingsworth","TX",5.49903202567938,"texas",48087
"colonial heigh","VA",5.21801236852883,"virginia",51570
"colorado","TX",5.39894584344592,"texas",48089
"colquitt","GA",4.4943650897968,"georgia",13071
"columbia","AR",6.16997133153621,"arkansas",5027
"columbia","FL",5.16610092340237,"florida",12023
"columbia","GA",4.36009853074748,"georgia",13073
"columbia","NY",6.58648512705567,"new york",36021
"columbia","OR",5.34678779225207,"oregon",41009
"columbia","PA",5.65919235043502,"pennsylvania",42037
"columbia","WA",5.16319080364672,"washington",53013
"columbia","WI",6.31096850291418,"wisconsin",55021
"columbiana","OH",4.93042209653829,"ohio",39029
"columbus","NC",4.65263461134836,"north carolina",37047
"colusa","CA",5.30201312126524,"california",6011
"comal","TX",5.60310275658234,"texas",48091
"comanche","KS",5.30685173930013,"kansas",20033
"comanche","OK",3.83977871469379,"oklahoma",40031
"comanche","TX",5.93833955081268,"texas",48093
"concho","TX",4.92524022001048,"texas",48095
"concordia","LA",5.52394713988658,"louisiana",22029
"conecuh","AL",5.72736825116306,"alabama",1035
"conejos","CO",4.89733860569366,"colorado",8021
"contra costa","CA",4.31417562463723,"california",6013
"converse","WY",4.5106869733384,"wyoming",56009
"conway","AR",5.14506584119827,"arkansas",5029
"cook","GA",5.65734012154684,"georgia",13075
"cook","IL",5.83890235342648,"illinois",17031
"cook","MN",4.88721610482675,"minnesota",27031
"cooke","TX",4.92824319637885,"texas",48097
"cooper","MO",5.30820763007515,"missouri",29053
"coos","NH",4.63530730322364,"new hampshire",33007
"coos","OR",5.66366164624224,"oregon",41011
"coosa","AL",5.53962864986197,"alabama",1037
"copiah","MS",4.80119944354062,"mississippi",28029
"corson","SD",4.96352072566478,"south dakota",46031
"cortland","NY",4.64459259414534,"new york",36023
"coryell","TX",3.33628901920972,"texas",48099
"coshocton","OH",5.00666670488495,"ohio",39031
"costilla","CO",4.91941758972066,"colorado",8023
"cottle","TX",5.62754751764177,"texas",48101
"cotton","OK",5.92050843678463,"oklahoma",40033
"cottonwood","MN",5.04738714248071,"minnesota",27033
"covington city","VA",6.19301598945784,"virginia",51580
"covington","AL",4.97342303310904,"alabama",1039
"covington","MS",5.27432285124427,"mississippi",28031
"coweta","GA",5.10083609755409,"georgia",13077
"cowley","KS",5.92111831371125,"kansas",20035
"cowlitz","WA",4.50087520686246,"washington",53015
"craig","OK",5.45897288381068,"oklahoma",40035
"craig","VA",5.15886037540915,"virginia",51045
"craighead","AR",5.14588860525794,"arkansas",5031
"crane","TX",4.78325136563963,"texas",48103
"craven","NC",4.85430261487993,"north carolina",37049
"crawford","AR",5.69385080965436,"arkansas",5033
"crawford","GA",4.76247639357874,"georgia",13079
"crawford","IA",5.28057681047662,"iowa",19047
"crawford","IL",5.6365115597715,"illinois",17033
"crawford","IN",6.1810736066451,"indiana",18025
"crawford","KS",6.25872201952105,"kansas",20037
"crawford","MI",5.26591090459723,"michigan",26039
"crawford","MO",5.00695731658081,"missouri",29055
"crawford","OH",5.51857740336551,"ohio",39033
"crawford","PA",5.34502577027032,"pennsylvania",42039
"crawford","WI",5.64218809736964,"wisconsin",55023
"creek","OK",5.28627812508716,"oklahoma",40037
"crenshaw","AL",4.73969311323425,"alabama",1041
"crisp","GA",5.20100142751808,"georgia",13081
"crittenden","AR",3.78403543130952,"arkansas",5035
"crittenden","KY",5.68049747958074,"kentucky",21055
"crockett","TN",4.96136309445084,"tennessee",47033
"crockett","TX",5.10549790624877,"texas",48105
"crook","OR",6.18236980050964,"oregon",41013
"crook","WY",5.01629611395412,"wyoming",56011
"crosby","TX",5.22904587197208,"texas",48107
"cross","AR",4.97588953396647,"arkansas",5037
"crow wing","MN",5.8755294358933,"minnesota",27035
"crowley","CO",5.53874018316668,"colorado",8025
"culberson","TX",4.89848365526858,"texas",48109
"cullman","AL",5.32215725045649,"alabama",1043
"culpeper","VA",4.70260647672778,"virginia",51047
"cumberland","IL",4.95948496487978,"illinois",17035
"cumberland","KY",4.67957751221618,"kentucky",21057
"cumberland","ME",5.5498259308941,"maine",23005
"cumberland","NC",3.03680276334707,"north carolina",37051
"cumberland","NJ",4.76754968852956,"new jersey",34011
"cumberland","PA",4.41322114791237,"pennsylvania",42041
"cumberland","TN",4.3480954736671,"tennessee",47035
"cumberland","VA",5.43277639404041,"virginia",51049
"cuming","NE",4.94088194447905,"nebraska",31039
"currituck","NC",4.97117478524167,"north carolina",37053
"curry","NM",5.36840979077858,"new mexico",35009
"curry","OR",5.6209570144908,"oregon",41015
"custer","CO",5.02109489630556,"colorado",8027
"custer","ID",5.12097875718083,"idaho",16037
"custer","MT",4.85895376055837,"montana",30017
"custer","NE",5.65354928592919,"nebraska",31041
"custer","OK",4.56948891177946,"oklahoma",40039
"custer","SD",5.00174023735393,"south dakota",46033
"cuyahoga","OH",6.16666008087593,"ohio",39035
"dade","FL",6.38038666526068,"florida",12086
"dade","GA",4.58635006282005,"georgia",13083
"dade","MO",5.8380790465301,"missouri",29057
"daggett","UT",5.11877391935034,"utah",49009
"dakota","MN",3.59497057234284,"minnesota",27037
"dakota","NE",5.66231140360178,"nebraska",31043
"dale","AL",3.6474057600769,"alabama",1045
"dallam","TX",4.71359883700065,"texas",48111
"dallas","AL",5.0361163391092,"alabama",1047
"dallas","AR",4.69489519997091,"arkansas",5039
"dallas","IA",5.10400221785928,"iowa",19049
"dallas","MO",5.42916364100408,"missouri",29059
"dallas","TX",4.06411703926414,"texas",48113
"dane","WI",4.04300287921177,"wisconsin",55025
"daniels","MT",5.5889481266049,"montana",30019
"danville city","VA",5.29644351377539,"virginia",51590
"dare","NC",4.58942137632924,"north carolina",37055
"darke","OH",5.82848221818342,"ohio",39037
"darlington","SC",5.3229333805095,"south carolina",45031
"dauphin","PA",6.36234828390856,"pennsylvania",42043
"davidson","NC",5.15734498497921,"north carolina",37057
"davidson","TN",5.08162512561011,"tennessee",47037
"davie","NC",4.46244323827097,"north carolina",37059
"daviess","IN",5.42333101523647,"indiana",18027
"daviess","KY",5.22252260056204,"kentucky",21059
"daviess","MO",5.16588762059453,"missouri",29061
"davis","IA",5.11940323029711,"iowa",19051
"davis","UT",2.92336724757788,"utah",49011
"davison","SD",5.6475227230967,"south dakota",46035
"dawes","NE",5.38211825727496,"nebraska",31045
"dawson","GA",4.96168298259065,"georgia",13085
"dawson","MT",4.909431805307,"montana",30021
"dawson","NE",4.82817065391779,"nebraska",31047
"dawson","TX",5.77501934067035,"texas",48115
"day","SD",4.91812285032348,"south dakota",46037
"de baca","NM",4.99239234499219,"new mexico",35011
"de kalb","AL",4.97303579834316,"alabama",1049
"de kalb","GA",4.58590109426516,"georgia",13089
"de kalb","IL",4.07989447282193,"illinois",17037
"de kalb","IN",4.20771459171024,"indiana",18033
"de kalb","MO",5.10727048653694,"missouri",29063
"de kalb","TN",5.34647090991523,"tennessee",47041
"de soto","FL",5.81746157517605,"florida",12027
"de soto","LA",5.50411408378671,"louisiana",22031
"de soto","MS",4.33259154177045,"mississippi",28033
"de witt","IL",4.31228530939972,"illinois",17039
"de witt","TX",5.64315954656209,"texas",48123
"deaf smith","TX",4.40709915742815,"texas",48117
"dearborn","IN",4.97048253085635,"indiana",18029
"decatur","GA",5.47098867626646,"georgia",13087
"decatur","IA",5.70235524543734,"iowa",19053
"decatur","IN",5.67723774688971,"indiana",18031
"decatur","KS",5.46364248744116,"kansas",20039
"decatur","TN",5.86930268268408,"tennessee",47039
"deer lodge","MT",5.5479210540235,"montana",30023
"defiance","OH",4.38398595095542,"ohio",39039
"del norte","CA",4.99668841855662,"california",6015
"delaware","IA",5.51577829085168,"iowa",19055
"delaware","IN",5.24420565655026,"indiana",18035
"delaware","NY",6.21217041541703,"new york",36025
"delaware","OH",5.08650282456572,"ohio",39041
"delaware","OK",4.90520345289728,"oklahoma",40041
"delaware","PA",5.83411997556169,"pennsylvania",42045
"delta","CO",5.78137543182893,"colorado",8029
"delta","MI",5.25458368766395,"michigan",26041
"delta","TX",5.14581957439311,"texas",48119
"dent","MO",5.03510866650462,"missouri",29065
"denton","TX",3.69496191339801,"texas",48121
"denver","CO",4.86297511226936,"colorado",8031
"des moines","IA",4.85718794065899,"iowa",19057
"deschutes","OR",4.10267009503826,"oregon",41017
"desha","AR",4.71073666464886,"arkansas",5041
"deuel","NE",4.98026163532066,"nebraska",31049
"deuel","SD",5.08417916741376,"south dakota",46039
"dewey","OK",6.56815295584514,"oklahoma",40043
"dewey","SD",5.3239227479344,"south dakota",46041
"dickens","TX",5.55575431200823,"texas",48125
"dickenson","VA",4.44793521829072,"virginia",51051
"dickey","ND",4.96167084293923,"north dakota",38021
"dickinson","IA",4.97800380479977,"iowa",19059
"dickinson","KS",6.250074896786,"kansas",20041
"dickinson","MI",4.56947020314818,"michigan",26043
"dickson","TN",4.59796677688093,"tennessee",47043
"dillon","SC",5.15108315626502,"south carolina",45033
"dimmit","TX",4.37289682822864,"texas",48127
"dinwiddie","VA",4.80938146320818,"virginia",51053
"divide","ND",5.54607877428154,"north dakota",38023
"dixie","FL",5.1523641017218,"florida",12029
"dixon","NE",5.57247557306529,"nebraska",31051
"doddridge","WV",6.09056079067678,"west virginia",54017
"dodge","GA",5.42917031295898,"georgia",13091
"dodge","MN",4.66865178068218,"minnesota",27039
"dodge","NE",5.04648705850224,"nebraska",31053
"dodge","WI",5.74543527300831,"wisconsin",55027
"dolores","CO",5.68979965084881,"colorado",8033
"dona ana","NM",3.59516143564906,"new mexico",35013
"doniphan","KS",6.02847235599398,"kansas",20043
"donley","TX",4.88845681684592,"texas",48129
"dooly","GA",4.7893155352345,"georgia",13093
"door","WI",5.05946221509779,"wisconsin",55029
"dorchester","MD",4.34810239599691,"maryland",24019
"dorchester","SC",4.54455108766286,"south carolina",45035
"dougherty","GA",4.0000179883758,"georgia",13095
"douglas","CO",4.40311607239762,"colorado",8035
"douglas","GA",3.67345960370937,"georgia",13097
"douglas","IL",4.68903123679881,"illinois",17041
"douglas","KS",4.363242937394,"kansas",20045
"douglas","MN",5.84071199218582,"minnesota",27041
"douglas","MO",4.91112007739024,"missouri",29067
"douglas","NE",5.41903589596417,"nebraska",31055
"douglas","NV",5.51577101319633,"nevada",32005
"douglas","OR",6.63070396282258,"oregon",41019
"douglas","SD",5.48178610648418,"south dakota",46043
"douglas","WA",5.15330815423826,"washington",53017
"douglas","WI",7.44001937450536,"wisconsin",55031
"drew","AR",5.39077818606009,"arkansas",5043
"du page","IL",3.88999827190499,"illinois",17043
"dubois","IN",6.64866333619448,"indiana",18037
"dubuque","IA",5.84114821184042,"iowa",19061
"duchesne","UT",4.21466315197745,"utah",49013
"dukes","MA",4.7985481734665,"massachusetts",25007
"dundy","NE",5.27559866238232,"nebraska",31057
"dunklin","MO",6.76613509198091,"missouri",29069
"dunn","ND",5.14077172654251,"north dakota",38025
"dunn","WI",4.5828474515312,"wisconsin",55033
"duplin","NC",4.80126567952265,"north carolina",37061
"durham","NC",4.88030876130636,"north carolina",37063
"dutchess","NY",5.72557238629077,"new york",36027
"duval","FL",4.29717075726306,"florida",12031
"duval","TX",4.50729361089697,"texas",48131
"dyer","TN",4.4105246386085,"tennessee",47045
"eagle","CO",3.95783478147643,"colorado",8037
"early","GA",4.94287594831298,"georgia",13099
"east baton rou","LA",4.79619061798097,"louisiana",22033
"east carroll","LA",4.85433737318735,"louisiana",22035
"east feliciana","LA",4.98470141496838,"louisiana",22037
"eastland","TX",4.7014347728371,"texas",48133
"eaton","MI",4.53055305216624,"michigan",26045
"eau claire","WI",4.92131384304138,"wisconsin",55035
"echols","GA",4.99476587084265,"georgia",13101
"ector","TX",5.06403946932958,"texas",48135
"eddy","ND",5.8380331433431,"north dakota",38027
"eddy","NM",4.53769579693666,"new mexico",35015
"edgar","IL",4.891486406777,"illinois",17045
"edgecombe","NC",5.97975206211126,"north carolina",37065
"edgefield","SC",5.37936535025392,"south carolina",45037
"edmonson","KY",5.30007368846213,"kentucky",21061
"edmunds","SD",5.73630282072789,"south dakota",46045
"edwards","IL",4.59193427109407,"illinois",17047
"edwards","KS",5.20788098681013,"kansas",20047
"edwards","TX",4.98890864856072,"texas",48137
"effingham","GA",5.2914609561524,"georgia",13103
"effingham","IL",4.77073418421799,"illinois",17049
"el dorado","CA",4.65809955332928,"california",6017
"el paso","CO",2.70629814556874,"colorado",8041
"el paso","TX",4.01069391579056,"texas",48141
"elbert","CO",4.86612975886172,"colorado",8039
"elbert","GA",5.37775130732025,"georgia",13105
"elk","KS",5.55865992225907,"kansas",20049
"elk","PA",6.13591141453506,"pennsylvania",42047
"elkhart","IN",4.88038718038835,"indiana",18039
"elko","NV",4.52777199539838,"nevada",32007
"elliott","KY",5.25939498662717,"kentucky",21063
"ellis","KS",6.14199953040056,"kansas",20051
"ellis","OK",5.06047509020482,"oklahoma",40045
"ellis","TX",3.83811530819899,"texas",48139
"ellsworth","KS",5.88817137309309,"kansas",20053
"elmore","AL",4.09947299514005,"alabama",1051
"elmore","ID",4.29091291619221,"idaho",16039
"emanuel","GA",5.315888301768,"georgia",13107
"emery","UT",4.60087000576821,"utah",49015
"emmet","IA",4.31155789211867,"iowa",19063
"emmet","MI",5.23425485533337,"michigan",26047
"emmons","ND",5.06027081750875,"north dakota",38029
"emporia city","VA",5.25059898422161,"virginia",51595
"erath","TX",4.87612128487291,"texas",48143
"erie","NY",6.29625602653207,"new york",36029
"erie","OH",5.33603376489159,"ohio",39043
"erie","PA",4.93729325463193,"pennsylvania",42049
"escambia","AL",6.00207224688858,"alabama",1053
"escambia","FL",5.65991023432962,"florida",12033
"esmeralda","NV",5.07603838579539,"nevada",32009
"essex","MA",5.75913844146023,"massachusetts",25009
"essex","NJ",6.68688254534483,"new jersey",34013
"essex","NY",7.03612752315459,"new york",36031
"essex","VA",6.00449564042342,"virginia",51057
"essex","VT",5.61519944144195,"vermont",50009
"estill","KY",6.08161758648244,"kentucky",21065
"etowah","AL",4.52033940454583,"alabama",1055
"eureka","NV",5.38552543174797,"nevada",32011
"evangeline","LA",5.29089959706654,"louisiana",22039
"evans","GA",5.36501434067829,"georgia",13109
"fairfax city","VA",5.26403533830656,"virginia",51600
"fairfax","VA",3.09172757576138,"virginia",51059
"fairfield","CT",5.71327990029637,"connecticut",9001
"fairfield","OH",4.20385301431296,"ohio",39045
"fairfield","SC",5.39874299404275,"south carolina",45039
"fall river","SD",4.88192900342331,"south dakota",46047
"fallon","MT",5.21147279392531,"montana",30025
"falls church c","VA",4.79952901809604,"virginia",51610
"falls","TX",5.92658308606195,"texas",48145
"fannin","GA",6.06098020475284,"georgia",13111
"fannin","TX",4.76785017122816,"texas",48147
"faribault","MN",5.26867043546959,"minnesota",27043
"faulk","SD",4.92823463796496,"south dakota",46049
"faulkner","AR",4.83803556108913,"arkansas",5045
"fauquier","VA",4.08684946080026,"virginia",51061
"fayette","AL",5.15035464337328,"alabama",1057
"fayette","GA",3.70965168116618,"georgia",13113
"fayette","IA",6.88469392230128,"iowa",19065
"fayette","IL",6.05720816266212,"illinois",17051
"fayette","IN",4.30833321042966,"indiana",18041
"fayette","KY",4.36402654976581,"kentucky",21067
"fayette","OH",5.03754666058689,"ohio",39047
"fayette","PA",5.63651280889086,"pennsylvania",42051
"fayette","TN",4.79422554009136,"tennessee",47047
"fayette","TX",5.75330285053673,"texas",48149
"fayette","WV",5.05383589435779,"west virginia",54019
"fentress","TN",5.23549137519782,"tennessee",47049
"fergus","MT",5.1336115431241,"montana",30027
"ferry","WA",4.7970251275928,"washington",53019
"fillmore","MN",6.54282834292318,"minnesota",27045
"fillmore","NE",6.11066338050581,"nebraska",31059
"finney","KS",5.10814689658247,"kansas",20055
"fisher","TX",5.06948377186382,"texas",48151
"flagler","FL",6.04054436738372,"florida",12035
"flathead","MT",4.11946595933572,"montana",30029
"fleming","KY",6.2719463624749,"kentucky",21069
"florence","SC",5.74620592654835,"south carolina",45041
"florence","WI",6.07759917855984,"wisconsin",55037
"floyd","GA",4.53167838254812,"georgia",13115
"floyd","IA",5.3047259088868,"iowa",19067
"floyd","IN",5.38717974732253,"indiana",18043
"floyd","KY",5.58376316389778,"kentucky",21071
"floyd","TX",5.1357258141383,"texas",48153
"floyd","VA",4.9262123562559,"virginia",51063
"fluvanna","VA",5.16677828742615,"virginia",51065
"foard","TX",5.36408578535321,"texas",48155
"fond du lac","WI",5.29939568764661,"wisconsin",55039
"ford","IL",5.80715161698481,"illinois",17053
"ford","KS",4.80581420220375,"kansas",20057
"forest","PA",5.72527453566363,"pennsylvania",42053
"forest","WI",5.13572862863938,"wisconsin",55041
"forrest","MS",4.80570854904548,"mississippi",28035
"forsyth","GA",4.60450647559489,"georgia",13117
"forsyth","NC",4.75466629999654,"north carolina",37067
"fort bend","TX",4.29768957058516,"texas",48157
"foster","ND",5.45253701117598,"north dakota",38031
"fountain","IN",5.27041583826723,"indiana",18045
"franklin city","VA",4.90139818610875,"virginia",51620
"franklin","AL",5.47460689500995,"alabama",1059
"franklin","AR",4.96056536123407,"arkansas",5047
"franklin","FL",5.21855246576801,"florida",12037
"franklin","GA",5.30864457805723,"georgia",13119
"franklin","IA",5.41036858207836,"iowa",19069
"franklin","ID",4.78270706576024,"idaho",16041
"franklin","IL",6.48098085389809,"illinois",17055
"franklin","IN",4.39967311993433,"indiana",18047
"franklin","KS",6.35123122014665,"kansas",20059
"franklin","KY",4.59475365445984,"kentucky",21073
"franklin","LA",4.64799735453598,"louisiana",22041
"franklin","MA",4.34205013360582,"massachusetts",25011
"franklin","ME",5.19438706349339,"maine",23007
"franklin","MO",5.36047599343879,"missouri",29071
"franklin","MS",5.07399825856246,"mississippi",28037
"franklin","NC",5.15980863150719,"north carolina",37069
"franklin","NE",6.09250834787558,"nebraska",31061
"franklin","NY",6.29357094895327,"new york",36033
"franklin","OH",4.25783614655771,"ohio",39049
"franklin","PA",6.76197902426477,"pennsylvania",42055
"franklin","TN",4.31711305912062,"tennessee",47051
"franklin","TX",4.93644897160778,"texas",48159
"franklin","VA",4.65706662186465,"virginia",51067
"franklin","VT",4.52361547125811,"vermont",50011
"franklin","WA",4.32697389636459,"washington",53021
"frederick","MD",5.31625056915376,"maryland",24021
"frederick","VA",4.23969396240722,"virginia",51069
"fredericksburg","VA",6.28402469112809,"virginia",51630
"freeborn","MN",5.86806172800394,"minnesota",27047
"freestone","TX",4.8484709300262,"texas",48161
"fremont","CO",5.42647431890861,"colorado",8043
"fremont","IA",5.43081776767241,"iowa",19071
"fremont","ID",4.37790999333146,"idaho",16043
"fremont","WY",4.67463599247357,"wyoming",56013
"fresno","CA",3.94332379998246,"california",6019
"frio","TX",4.50596702023497,"texas",48163
"frontier","NE",4.91829907370594,"nebraska",31063
"fulton","AR",5.6318147943085,"arkansas",5049
"fulton","GA",5.21869605175425,"georgia",13121
"fulton","IL",4.96248873708503,"illinois",17057
"fulton","IN",4.98180244855306,"indiana",18049
"fulton","KY",5.87528480948682,"kentucky",21075
"fulton","NY",6.21115013538514,"new york",36035
"fulton","OH",6.30960152042469,"ohio",39051
"fulton","PA",5.34395600787513,"pennsylvania",42057
"furnas","NE",5.60795745765274,"nebraska",31065
"gadsden","FL",4.83026717669443,"florida",12039
"gage","NE",4.97632375995635,"nebraska",31067
"gaines","TX",4.21340654686356,"texas",48165
"galax city","VA",5.33702815765275,"virginia",51640
"gallatin","IL",4.91503396997796,"illinois",17059
"gallatin","KY",5.10936211055501,"kentucky",21077
"gallatin","MT",3.8301172051842,"montana",30031
"gallia","OH",5.10243018726236,"ohio",39053
"galveston","TX",4.5195518544249,"texas",48167
"garden","NE",4.97197647721575,"nebraska",31069
"garfield","CO",4.49495446412743,"colorado",8045
"garfield","MT",5.03649955648321,"montana",30033
"garfield","NE",5.32624437752957,"nebraska",31071
"garfield","OK",5.53772600801702,"oklahoma",40047
"garfield","UT",5.18732467761606,"utah",49017
"garfield","WA",4.98257131036005,"washington",53023
"garland","AR",7.09980002789233,"arkansas",5051
"garrard","KY",4.98408963679891,"kentucky",21079
"garrett","MD",6.8554259206536,"maryland",24023
"garvin","OK",4.33835946918439,"oklahoma",40049
"garza","TX",5.39035770146945,"texas",48169
"gasconade","MO",7.8360495451119,"missouri",29073
"gaston","NC",5.10254741739368,"north carolina",37071
"gates","NC",5.74013382910057,"north carolina",37073
"geary","KS",4.40115586378955,"kansas",20061
"geauga","OH",4.23984876416545,"ohio",39055
"gem","ID",5.19157295689666,"idaho",16045
"genesee","MI",6.04955226595285,"michigan",26049
"genesee","NY",5.25071274506026,"new york",36037
"geneva","AL",5.60344747814195,"alabama",1061
"gentry","MO",5.51112192059529,"missouri",29075
"george","MS",5.23569412082931,"mississippi",28039
"georgetown","SC",4.62729233478122,"south carolina",45043
"gibson","IN",4.48764884106323,"indiana",18051
"gibson","TN",6.31351749911015,"tennessee",47053
"gila","AZ",5.31454308277972,"arizona",4007
"gilchrist","FL",5.25841653050554,"florida",12041
"giles","TN",4.83960334589168,"tennessee",47055
"giles","VA",6.42797554518656,"virginia",51071
"gillespie","TX",5.49370864628662,"texas",48171
"gilliam","OR",5.66698192712774,"oregon",41021
"gilmer","GA",4.62025310924433,"georgia",13123
"gilmer","WV",6.02299267287067,"west virginia",54021
"gilpin","CO",5.23673720902554,"colorado",8047
"glacier","MT",6.28995120582699,"montana",30035
"glades","FL",5.02568803423197,"florida",12043
"gladwin","MI",4.86317949134981,"michigan",26051
"glascock","GA",5.02799573165895,"georgia",13125
"glasscock","TX",5.05184934783818,"texas",48173
"glenn","CA",5.276451584708,"california",6021
"gloucester","NJ",5.42543475670387,"new jersey",34015
"gloucester","VA",5.03404854531409,"virginia",51073
"glynn","GA",5.05995814100499,"georgia",13127
"gogebic","MI",4.73421561661436,"michigan",26053
"golden valley","MT",5.09741040225328,"montana",30037
"golden valley","ND",5.31282283711102,"north dakota",38033
"goliad","TX",5.38240417625676,"texas",48175
"gonzales","TX",7.5260498239571,"texas",48177
"goochland","VA",5.69363576572972,"virginia",51075
"goodhue","MN",5.38546864217691,"minnesota",27049
"gooding","ID",5.43207684226101,"idaho",16047
"gordon","GA",5.00228136226786,"georgia",13129
"goshen","WY",6.24863847453209,"wyoming",56015
"gosper","NE",4.98049404715169,"nebraska",31073
"gove","KS",4.88699409058891,"kansas",20063
"grady","GA",4.51513479014948,"georgia",13131
"grady","OK",6.6153420373705,"oklahoma",40051
"grafton","NH",5.11771462541147,"new hampshire",33009
"graham","AZ",7.04023507441847,"arizona",4009
"graham","KS",5.17678641321751,"kansas",20065
"graham","NC",4.94471415040566,"north carolina",37075
"grainger","TN",4.32968622252399,"tennessee",47057
"grand forks","ND",5.419639116867,"north dakota",38035
"grand isle","VT",4.79247967384175,"vermont",50013
"grand traverse","MI",5.07646630423077,"michigan",26055
"grand","CO",4.84451407899012,"colorado",8049
"grand","UT",5.21588805896499,"utah",49019
"granite","MT",5.59745925995176,"montana",30039
"grant","AR",4.82800721112636,"arkansas",5053
"grant","IN",6.27887025489157,"indiana",18053
"grant","KS",4.66332209238527,"kansas",20067
"grant","KY",4.48632496803859,"kentucky",21081
"grant","LA",5.54163921905805,"louisiana",22043
"grant","MN",5.26453973240629,"minnesota",27051
"grant","ND",5.15946916714202,"north dakota",38037
"grant","NE",5.10688584487852,"nebraska",31075
"grant","NM",5.00025940188616,"new mexico",35017
"grant","OK",5.29598539630416,"oklahoma",40053
"grant","OR",4.85247457466635,"oregon",41023
"grant","SD",5.09502944598927,"south dakota",46051
"grant","WA",4.43729369547036,"washington",53025
"grant","WI",5.6956198929127,"wisconsin",55043
"grant","WV",4.43889637035476,"west virginia",54023
"granville","NC",6.3061018029747,"north carolina",37077
"gratiot","MI",5.41489159144535,"michigan",26057
"graves","KY",6.28883384976215,"kentucky",21083
"gray","KS",5.0789353803931,"kansas",20069
"gray","TX",3.89850599471257,"texas",48179
"grays harbor","WA",6.37836903593215,"washington",53027
"grayson","KY",4.36531506185093,"kentucky",21085
"grayson","TX",4.71016546075231,"texas",48181
"grayson","VA",5.97060566783237,"virginia",51077
"greeley","KS",5.0329553241947,"kansas",20071
"greeley","NE",4.90392848668753,"nebraska",31077
"green lake","WI",5.77304598465007,"wisconsin",55047
"green","KY",4.97945900627993,"kentucky",21087
"green","WI",5.93683944027222,"wisconsin",55045
"greenbrier","WV",5.44205679042437,"west virginia",54025
"greene","AL",4.99472806128988,"alabama",1063
"greene","AR",5.45116347448999,"arkansas",5055
"greene","GA",5.34795069449015,"georgia",13133
"greene","IA",6.6559879453112,"iowa",19073
"greene","IL",4.90845671833544,"illinois",17061
"greene","IN",4.60149125700393,"indiana",18055
"greene","MO",5.19494914603757,"missouri",29077
"greene","MS",4.88545105620721,"mississippi",28041
"greene","NC",4.501911386605,"north carolina",37079
"greene","NY",4.95701256729963,"new york",36039
"greene","OH",4.77736913726102,"ohio",39057
"greene","PA",4.9768080638477,"pennsylvania",42059
"greene","TN",5.44998078101936,"tennessee",47059
"greene","VA",5.1548591844833,"virginia",51079
"greenlee","AZ",5.03818728196297,"arizona",4011
"greensville","VA",5.14998445486009,"virginia",51081
"greenup","KY",3.85222428599987,"kentucky",21089
"greenville","SC",4.86657996965624,"south carolina",45045
"greenwood","KS",6.33632228562855,"kansas",20073
"greenwood","SC",5.57600697451793,"south carolina",45047
"greer","OK",5.58568036775304,"oklahoma",40055
"gregg","TX",4.65280664380192,"texas",48183
"gregory","SD",5.05000172372331,"south dakota",46053
"grenada","MS",5.14701633747469,"mississippi",28043
"griggs","ND",5.18412484965224,"north dakota",38039
"grimes","TX",5.85714868603081,"texas",48185
"grundy","IA",5.0969631167276,"iowa",19075
"grundy","IL",4.95992141149359,"illinois",17063
"grundy","MO",5.24560743993169,"missouri",29079
"grundy","TN",4.76089653609356,"tennessee",47061
"guadalupe","NM",5.15111178744532,"new mexico",35019
"guadalupe","TX",5.14837284454376,"texas",48187
"guernsey","OH",5.20730359875183,"ohio",39059
"guilford","NC",6.46068627947941,"north carolina",37081
"gulf","FL",4.50513348747555,"florida",12045
"gunnison","CO",4.64823500812015,"colorado",8051
"guthrie","IA",4.94883317644908,"iowa",19077
"gwinnett","GA",3.62358414813171,"georgia",13135
"haakon","SD",4.9560847656079,"south dakota",46055
"habersham","GA",5.33947266917088,"georgia",13137
"hale","AL",4.710261327838,"alabama",1065
"hale","TX",5.66532570360051,"texas",48189
"halifax","NC",5.02052869347532,"north carolina",37083
"halifax","VA",5.31353792881762,"virginia",51083
"hall","GA",3.9460263395039,"georgia",13139
"hall","NE",4.41485525290062,"nebraska",31079
"hall","TX",5.14747923012524,"texas",48191
